"","X","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score"
"31867",31866,44,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",130.89,11135.54,"47.1683144960253",750.54,"No","Yes","No","Not Applicable","No reason specified",0
"31868",31867,48,"M","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",292.31,14145.32,"23.0",538.64,"No","Yes","Yes","Unsolved","Too many ads",1
"31869",31868,37,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",114.6,32300.94,"9.0",773.88,"No","Yes","No","Not Applicable","Too many ads",0
"31871",31870,19,"F","Town","Platinum Membership","Yes","Without Offers","Both","Mobile_Data",210.94,10645.19,"22.0",1032.46417402692,"No","Yes","No","Not Applicable","No reason specified",0
"31873",31872,57,"M","City","Gold Membership","Yes","Without Offers","Smartphone","Wi-Fi",473.01,27436.34,"51.865588579358175",761.29,"No","Yes","No","Not Applicable","Poor Website",0
"31874",31873,63,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",66.86,36788.78,"Error",671.2,"Yes","No","Yes","Solved in Follow-up","Poor Website",1
"31875",31874,36,"F","Village","Gold Membership","No","Without Offers","Smartphone","Wi-Fi",173.23,31272.16,"Error",642.57,"No","Yes","No","Not Applicable","No reason specified",1
"31876",31875,55,"M","Town","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",209.47,24358.85,"13.0",761.78,"No","Yes","Yes","Solved","Poor Website",0
"31879",31878,12,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",358.28,20912.37,"27.0",770.11,"Yes","No","Yes","Solved in Follow-up","Too many ads",0
"31880",31879,23,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Both","Mobile_Data",614.61,37429.4,"Error",716.66,"Yes","Yes","Yes","Solved","Poor Customer Service",0
"31882",31881,34,"F","City","No Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",46.57,42619.48,"24.0",641.01,"Yes","No","No","Not Applicable","Too many ads",1
"31885",31884,29,"M","Town","No Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",142.35,7533.71,"35.88842690530103",683.27,"Yes","No","No","Not Applicable","Too many ads",1
"31887",31886,20,"F","City","Silver Membership","No","Without Offers","Smartphone","Fiber_Optic",310.37,22005.86,"16.0",743.13,"No","Yes","Yes","Solved in Follow-up","No reason specified",0
"31888",31887,55,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",107.96,22271.06,"14.0",773.18,"No","Yes","No","Not Applicable","Poor Website",0
"31889",31888,36,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",120.62,49330.19,"25.0",732.82,"Yes","No","Yes","Unsolved","Poor Product Quality",0
"31892",31891,32,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",283.15,99394.59,"1.0",786.75,"Yes","Yes","No","Not Applicable","Reasonable Price",0
"31893",31892,36,"M","Town","No Membership","No","Gift Vouchers/Coupons","Both","Fiber_Optic",421.04,49546.22,"5.0",673.96,"No","Yes","No","Not Applicable","Poor Website",1
"31898",31897,53,"M","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",1444.62237128377,33752.14,"19.0",778.05,"No","Yes","No","Not Applicable","Too many ads",0
"31900",31899,45,"F","Town","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",36.62,48824.12,"28.0",680.75,"No","Yes","Yes","Solved","No reason specified",1
"31901",31900,29,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",932.46,63971.58,"10.0",291.460134998702,"Yes","No","Yes","Solved in Follow-up","Products always in Stock",0
"31902",31901,46,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",517,13458.51,"3.0",1363.59909506711,"Yes","No","No","Not Applicable","User Friendly Website",0
"31903",31902,41,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",65.33,22688.2,"23.0",758.28,"No","Yes","Yes","Solved","Too many ads",0
"31904",31903,37,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",118.16,27883.48,"8.0",936.606735349392,"Yes","No","Yes","No Information Available","Poor Website",1
"31905",31904,37,"M","City","Gold Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",134.41,42895.04,"6.0",706.44,"No","Yes","No","Not Applicable","Too many ads",0
"31906",31905,27,"M","Village","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",51.76,41546.13,"9.0",707.68,"Yes","No","No","Not Applicable","No reason specified",1
"31907",31906,21,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",259.59,43342.96,"19.0",709.75,"Yes","No","No","Not Applicable","Poor Customer Service",1
"31908",31907,54,"M","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",171.59,40929.71,"21.0",701.81,"No","Yes","Yes","Solved in Follow-up","Too many ads",1
"31909",31908,53,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",904.09,10023.82,"26.0",764.54,"Yes","Yes","No","Not Applicable","No reason specified",0
"31910",31909,48,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",156.66,38955.19,"9.0",1123.25760625995,"No","Yes","No","Not Applicable","Reasonable Price",0
"31911",31910,47,"M","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",257.39,47945.66,"10.0",686.06,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"31912",31911,15,"F","Town","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",155.08,20198.67,"6.0",718.72,"No","Yes","No","Not Applicable","Poor Website",1
"31913",31912,12,"M","City","Basic Membership","No","Without Offers","Desktop","Mobile_Data",250.51,20079.25,"39.48706023499121",616.53,"Yes","Yes","Yes","Unsolved","Poor Customer Service",1
"31915",31914,43,"M","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",30.85,36030.47,"7.0",661.17,"No","Yes","Yes","No Information Available","Too many ads",1
"31919",31918,60,"M","City","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",396.32,32838.49,"Error",811.02,"Yes","No","No","Not Applicable","Products always in Stock",0
"31920",31919,41,"F","Town","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",70.14,45739.71,"7.0",797.82,"No","Yes","Yes","Unsolved","Too many ads",0
"31921",31920,10,"M","Town","No Membership","No","Without Offers","Smartphone","Wi-Fi",62.6,11887.71,"20.0",233.004913816331,"Yes","No","No","Not Applicable","Poor Customer Service",1
"31922",31921,48,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",1204.87,48443.24,"19.0",766.57,"Yes","Yes","Yes","Unsolved","User Friendly Website",0
"31924",31923,14,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",195.57,8151.4,"24.0",745.8,"No","Yes","No","Not Applicable","Poor Website",0
"31925",31924,14,"F","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",111.87,32514.7,"24.0",759.45,"No","Yes","Yes","Unsolved","Too many ads",0
"31928",31927,54,"M","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",110.33,16883.08,"6.0",746.99,"Yes","No","No","Not Applicable","Poor Product Quality",0
"31929",31928,13,"F","City","Platinum Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",31.6,30729.82,"3.4643976829380776",762.96,"No","Yes","Yes","No Information Available","Poor Customer Service",0
"31931",31930,60,"F","City","Silver Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",360.35,25986.65,"28.0",606.91,"Yes","No","No","Not Applicable","Too many ads",1
"31933",31932,61,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",905.55,48258.16,"12.0",732.49,"No","Yes","No","Not Applicable","Poor Customer Service",0
"31936",31935,43,"F","Village","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",193.21,35304.94,"22.0",1049.32635113099,"Yes","No","No","Not Applicable","Too many ads",1
"31937",31936,62,"F","City","No Membership","No","Without Offers","Smartphone","Fiber_Optic",60.19,2853.73,"29.0",622.49,"Yes","No","No","Not Applicable","Poor Customer Service",1
"31944",31943,32,"F","Town","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",34.01,75021.39,"17.0",771.03,"No","Yes","Yes","Unsolved","Reasonable Price",0
"31945",31944,64,"F","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",495.39,45458.52,"22.0",731.41,"No","Yes","No","Not Applicable","Poor Product Quality",0
"31948",31947,51,"M","Town","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",40.74,31848.81,"Error",1131.07498670718,"No","Yes","Yes","Unsolved","No reason specified",1
"31949",31948,31,"F","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",724.46,30029.44,"22.0",761.54,"Yes","Yes","Yes","Solved in Follow-up","No reason specified",0
"31950",31949,47,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",134.01,1391.95,"-9.778056241635639",309.629809118063,"Yes","No","Yes","Solved","Poor Customer Service",1
"31951",31950,38,"M","Town","Premium Membership","No","Without Offers","Both","Wi-Fi",303.57,83557.61,"18.0",843.2,"Yes","No","No","Not Applicable","User Friendly Website",0
"31952",31951,46,"M","City","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",111.67,32763.55,"8.0",768.87,"Yes","No","No","Not Applicable","Reasonable Price",0
"31953",31952,57,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",275.96,39593.69,"18.0",664.96,"No","Yes","Yes","Solved in Follow-up","No reason specified",1
"31954",31953,33,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",132.35,31529.29,"22.0",751.29,"No","Yes","Yes","No Information Available","Poor Customer Service",0
"31955",31954,30,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",190,83721.53,"14.0",782.37,"No","Yes","Yes","No Information Available","Quality Customer Care",0
"31959",31958,28,"F","Town","Gold Membership","No","Without Offers","Both","Wi-Fi",308.77,45564.89,"36.92659854662425",716.28,"Yes","No","Yes","Solved","Poor Website",1
"31960",31959,36,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",32.73,10682.17,"8.0",840.47,"No","Yes","Yes","Solved","Quality Customer Care",0
"31961",31960,10,"F","City","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",74.69,34691.81,"Error",747.35,"No","Yes","No","Not Applicable","Poor Website",0
"31962",31961,58,"M","Village","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",-800.621230361511,18850.1,"Error",708.22,"No","Yes","Yes","Solved","Poor Product Quality",1
"31964",31963,60,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",39.58,22217.03,"10.0",765.63,"Yes","No","Yes","No Information Available","Products always in Stock",0
"31965",31964,24,"F","Village","Silver Membership","No","Without Offers","Desktop","Wi-Fi",1073.35370249677,41909.72,"19.0",759.19,"No","Yes","Yes","Solved","Poor Customer Service",0
"31967",31966,16,"M","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",82.39,36823.04,"16.0",500.34,"No","Yes","Yes","Solved in Follow-up","Too many ads",1
"31968",31967,32,"M","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",30.36,31957.7,"27.0",602.33,"Yes","No","No","Not Applicable","Too many ads",1
"31970",31969,24,"F","City","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",679.89,16057,"10.0",728.16,"Yes","No","Yes","Unsolved","Poor Customer Service",0
"31971",31970,52,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",238.45,46894.53,"17.0",698.06,"No","Yes","No","Not Applicable","Poor Website",1
"31972",31971,38,"M","Village","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",33.55,8349.42,"21.0",647.75,"No","Yes","No","Not Applicable","Poor Website",1
"31973",31972,60,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",67.33,36657.9,"12.0",695.67,"No","Yes","Yes","Unsolved","Too many ads",1
"31975",31974,46,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",-900.474838288495,14778.45,"13.0",636.4,"No","Yes","Yes","No Information Available","Poor Website",1
"31976",31975,33,"M","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",131.28,919.98,"14.0",1272.58983847114,"Yes","No","No","Not Applicable","No reason specified",0
"31977",31976,30,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Wi-Fi",30.15,29308.81,"Error",773.25,"Yes","No","No","Not Applicable","No reason specified",0
"31978",31977,24,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",577.29,21583.1,"17.0",1098.47428306248,"No","Yes","No","Not Applicable","Too many ads",1
"31981",31980,12,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",280.46,10627.89,"19.0",726.78,"Yes","No","Yes","No Information Available","Reasonable Price",0
"31982",31981,44,"F","Town","Silver Membership","Yes","Credit/Debit Card Offers","Both","Mobile_Data",618.8,47519.92,"18.0",1236.39862714638,"Yes","No","Yes","Solved in Follow-up","Poor Product Quality",1
"31983",31982,18,"M","Town","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",31.46,17519.74,"21.0",514.11,"Yes","No","Yes","Unsolved","Poor Website",1
"31986",31985,38,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",93.35,2862.76,"Error",779.21,"Yes","No","No","Not Applicable","Poor Website",0
"31990",31989,29,"M","Village","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Mobile_Data",723.31,37094.39,"4.0",775.45,"Yes","Yes","Yes","Unsolved","Products always in Stock",0
"31991",31990,57,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",333.55,4778.28,"11.0",341.633675492047,"Yes","No","No","Not Applicable","No reason specified",1
"31992",31991,63,"F","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",90.91,49635.42,"6.0",355.452233005523,"Yes","No","Yes","Solved","Poor Website",1
"31993",31992,26,"F","Town","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",81.69,33181.09,"Error",506.75,"Yes","No","No","Not Applicable","Poor Product Quality",1
"31994",31993,59,"M","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",635.09,40564.8,"8.0",363.416165107154,"Yes","Yes","No","Not Applicable","Poor Customer Service",1
"31997",31996,59,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",51.6,47324.92,"23.0",685.99,"Yes","No","Yes","Unsolved","Poor Customer Service",1
"31999",31998,20,"F","Town","No Membership","No","Without Offers","Smartphone","Mobile_Data",66.75,40702.67,"16.0",622.55,"No","Yes","Yes","Solved","Poor Website",1
"32000",31999,22,"F","Town","Gold Membership","No","Without Offers","Desktop","Wi-Fi",103.35,12909.15,"5.0",839.25,"No","Yes","No","Not Applicable","Products always in Stock",0
"32001",32000,39,"M","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",34.36,17755.38,"8.0",720.44,"Yes","No","No","Not Applicable","Poor Customer Service",0
"32002",32001,52,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",130.69,21539.24,"23.0",621.33,"No","Yes","No","Not Applicable","Poor Product Quality",1
"32003",32002,32,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",1132.92081080772,2824.56,"Error",1096.75022036216,"No","Yes","No","Not Applicable","No reason specified",0
"32005",32004,36,"M","City","Basic Membership","No","Without Offers","Desktop","Wi-Fi",259.59,9258.36,"5.0",670.94,"Yes","Yes","Yes","Unsolved","Poor Website",1
"32006",32005,21,"F","Town","Premium Membership","No","Without Offers","Desktop","Fiber_Optic",245.55,10379.83,"14.0",755.16,"No","Yes","Yes","Unsolved","No reason specified",0
"32010",32009,56,"F","Village","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",53.24,15185.45,"28.0",1265.06083026707,"Yes","No","No","Not Applicable","No reason specified",0
"32012",32011,56,"M","City","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",-803.880674599956,11189.75,"29.0",649.24,"Yes","No","No","Not Applicable","Poor Customer Service",1
"32014",32013,58,"M","City","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",263.74,34000.69,"22.0",725.93,"Yes","Yes","No","Not Applicable","No reason specified",0
"32015",32014,39,"M","City","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",54.49,44897.61,"6.0",796.16,"Yes","No","No","Not Applicable","Poor Product Quality",0
"32016",32015,24,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",93.98,12869.46,"24.0",700.54,"No","Yes","No","Not Applicable","Poor Customer Service",1
"32019",32018,53,"M","Village","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",30.47,2610.26,"14.0",635.58,"No","Yes","Yes","No Information Available","No reason specified",1
"32024",32023,29,"F","City","Premium Membership","Yes","Without Offers","Desktop","Mobile_Data",1105.27614288119,6709.25,"29.0",716.92,"No","Yes","Yes","Solved","Poor Product Quality",0
"32025",32024,40,"F","Town","Basic Membership","No","Without Offers","Smartphone","Fiber_Optic",136.37,23352.49,"18.0",681.74,"No","Yes","Yes","No Information Available","Poor Product Quality",1
"32027",32026,45,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",31.97,21876.19,"17.0",751.4,"Yes","No","No","Not Applicable","Poor Website",0
"32028",32027,45,"M","Town","Premium Membership","No","Without Offers","Smartphone","Fiber_Optic",88.6,64995.58,"4.0",771.69,"Yes","No","No","Not Applicable","Reasonable Price",0
"32029",32028,37,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",31.51,19559.22,"17.0",634.59,"Yes","No","No","Not Applicable","Poor Product Quality",1
"32030",32029,42,"M","Village","No Membership","No","Without Offers","Both","Mobile_Data",246.73,13241.26,"20.0",680.37,"Yes","No","Yes","Solved","No reason specified",1
"32031",32030,31,"M","Village","Premium Membership","Yes","Without Offers","Desktop","Wi-Fi",90.79,33424.22,"Error",767.29,"Yes","No","Yes","Unsolved","Poor Customer Service",0
"32033",32032,26,"F","City","No Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",33.64,23704.4,"28.0",678.85,"Yes","No","No","Not Applicable","No reason specified",1
"32038",32037,41,"F","Town","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",94.46,27239.15,"29.0",608.67,"No","Yes","No","Not Applicable","Poor Customer Service",1
"32040",32039,49,"M","City","No Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",175.63,14330.64,"27.0",685.89,"Yes","No","Yes","No Information Available","Poor Website",1
"32043",32042,46,"F","Town","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",344,8186.08,"Error",671.77,"No","Yes","Yes","No Information Available","Poor Website",1
"32045",32044,57,"F","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",68.71,44277.45,"27.0",662.74,"No","Yes","Yes","Solved","Poor Product Quality",0
"32046",32045,51,"F","Village","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",-819.373608548109,25150.94,"17.0",455.98836272442,"No","Yes","Yes","Solved","Too many ads",1
"32048",32047,25,"M","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",185.33,41117.55,"23.0",757.36,"Yes","No","No","Not Applicable","Poor Website",0
"32050",32049,32,"M","City","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",45.78,49725.15,"Error",797.24,"No","Yes","Yes","Solved in Follow-up","Products always in Stock",0
"32051",32050,39,"M","Town","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",31.1,32709.53,"29.0",672.53,"No","Yes","Yes","No Information Available","Too many ads",1
"32052",32051,33,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",408.77,33734.44,"-10.882985515306935",705.44,"Yes","Yes","Yes","Unsolved","Poor Website",0
"32054",32053,22,"M","City","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",458.37,46211.06,"14.0",644.86,"Yes","No","Yes","No Information Available","Too many ads",1
"32055",32054,21,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",151.92,45844.96,"4.0",825.42,"Yes","No","Yes","Solved in Follow-up","User Friendly Website",0
"32056",32055,41,"M","City","No Membership","No","Gift Vouchers/Coupons","Both","Wi-Fi",254.47,13187.61,"8.0",503.61,"Yes","No","No","Not Applicable","No reason specified",1
"32057",32056,44,"F","City","Gold Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",164.55,23559.61,"14.0",690.24,"No","Yes","No","Not Applicable","Too many ads",1
"32058",32057,51,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",354.57,1250.64,"-7.0472650339740355",614.19,"No","Yes","Yes","No Information Available","Too many ads",1
"32060",32059,38,"F","Village","Gold Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",109.35,12875.17,"19.0",784.01,"Yes","No","No","Not Applicable","Poor Website",0
"32062",32061,19,"F","City","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Wi-Fi",174.59,18984.83,"10.0",728.84,"No","Yes","No","Not Applicable","User Friendly Website",0
"32064",32063,49,"F","Town","Basic Membership","No","Without Offers","Desktop","Mobile_Data",33.89,10028.02,"23.0",628.91,"No","Yes","No","Not Applicable","Poor Product Quality",1
"32066",32065,53,"F","Village","No Membership","Yes","Without Offers","Desktop","Wi-Fi",122.83,18372.39,"Error",665.07,"No","Yes","No","Not Applicable","Poor Customer Service",1
"32067",32066,26,"F","Town","Platinum Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",408.8,36397.46,"Error",773.45,"Yes","No","No","Not Applicable","User Friendly Website",0
"32068",32067,60,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",2562.0920266206,67724.87,"38.54028303065061",725.45,"Yes","No","Yes","Solved","User Friendly Website",0
"32069",32068,53,"M","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",37.07,5407.32,"8.0",777.07,"No","Yes","Yes","No Information Available","Poor Website",0
"32070",32069,26,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",31.12,31987.76,"15.0",633.61,"Yes","No","Yes","Unsolved","Poor Product Quality",1
"32071",32070,13,"F","Town","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",30.64,20387.6,"25.0",718.03,"No","Yes","Yes","Solved in Follow-up","Too many ads",0
"32072",32071,14,"M","City","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",31.97,5848.18,"28.0",717.12,"No","Yes","Yes","Unsolved","Poor Website",0
"32073",32072,41,"F","Town","Basic Membership","No","Without Offers","Desktop","Wi-Fi",261.85,3948.07,"18.0",636.87,"Yes","No","No","Not Applicable","Poor Customer Service",1
"32074",32073,63,"F","City","Gold Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",246.39,14224.22,"18.0",745.61,"Yes","No","Yes","Unsolved","Poor Customer Service",0
"32075",32074,12,"M","Town","Basic Membership","Yes","Without Offers","Smartphone","Mobile_Data",956.24,21326.65,"24.0",623.55,"Yes","Yes","Yes","Solved in Follow-up","No reason specified",1
"32077",32076,59,"M","City","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",-689.850908750535,10412.08,"15.0",1049.56825884989,"Yes","No","No","Not Applicable","Poor Customer Service",1
"32078",32077,22,"F","Town","Platinum Membership","No","Credit/Debit Card Offers","Both","Mobile_Data",229.06,24463.4,"Error",713.81,"No","Yes","No","Not Applicable","Poor Website",0
"32085",32084,48,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",34.45,29605.71,"12.0",727.85,"No","Yes","No","Not Applicable","Poor Website",0
"32086",32085,51,"F","Town","Gold Membership","No","Without Offers","Desktop","Mobile_Data",112.48,22894.58,"27.0",768.71,"Yes","No","Yes","Unsolved","Poor Product Quality",0
"32087",32086,26,"M","Town","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",168.3,39889.16,"23.0",797.13,"No","Yes","Yes","Solved","Too many ads",0
"32089",32088,28,"F","City","No Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",449.77,20010.02,"14.0",653.04,"Yes","Yes","Yes","No Information Available","No reason specified",1
"32090",32089,10,"F","Town","Silver Membership","Yes","Without Offers","Smartphone","Fiber_Optic",140.93,33350.19,"7.0",672.02,"No","Yes","No","Not Applicable","Too many ads",1
"32092",32091,39,"F","Village","No Membership","Yes","Without Offers","Both","Wi-Fi",228.25,40392.99,"7.0",655.04,"No","Yes","No","Not Applicable","Poor Customer Service",1
"32093",32092,26,"M","Village","Basic Membership","Yes","Without Offers","Desktop","Wi-Fi",105.46,9642.27,"20.0",618.4,"Yes","No","Yes","Solved","Poor Product Quality",1
"32094",32093,12,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",1203.45507098802,11822.01,"23.0",1028.27043411011,"No","Yes","No","Not Applicable","Poor Product Quality",1
"32095",32094,54,"M","City","No Membership","Yes","Without Offers","Desktop","Wi-Fi",902.92,9409.25,"28.0",584.96,"Yes","Yes","Yes","Unsolved","Poor Customer Service",0
"32097",32096,16,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",393.47,45142.33,"7.0",768.76,"Yes","Yes","No","Not Applicable","Poor Customer Service",0
"32101",32100,15,"F","City","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",223.29,22128.21,"-1.5378267006016841",708.36,"No","Yes","Yes","Solved in Follow-up","Poor Product Quality",1
"32102",32101,23,"F","Town","Basic Membership","Yes","Without Offers","Desktop","Mobile_Data",41.38,22218.42,"26.0",665.55,"No","Yes","No","Not Applicable","No reason specified",1
"32106",32105,48,"M","City","Silver Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",33.08,30562.23,"12.0",715.7,"No","Yes","No","Not Applicable","User Friendly Website",0
"32107",32106,33,"M","City","Gold Membership","No","Without Offers","Both","Fiber_Optic",355.26,4623.88,"14.0",241.745301417345,"No","Yes","Yes","Solved","Poor Customer Service",1
"32110",32109,14,"F","City","Silver Membership","Yes","Without Offers","Smartphone","Mobile_Data",34.62,8339.95,"Error",662.22,"No","Yes","No","Not Applicable","Poor Customer Service",1
"32112",32111,18,"M","Village","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",346.81,6981.12,"13.0",792.67,"No","Yes","Yes","Solved","No reason specified",0
